filename,tempo,harm_change_median1,harm_change_median2,harm_change_median3,harm_change_median4,harm_change_median5,harm_change_median6,harm_change_square1,harm_change_square2,harm_change_square3,harm_change_square4,harm_change_square5,harm_change_square6,label
gtzan\blues\blues.00000.wav,123.046875,0.027400994277582955,0.01994350595647104,0.013674974441527862,-0.018773954361677926,0.009686655208004658,-0.007776615209877442,0.055818868327113524,0.0716099460921653,0.0857072897048526,0.08824059225734424,0.028658211878714104,0.031455592270886575,blues
gtzan\blues\blues.00001.wav,107.666015625,0.0321677911671443,0.08204166044939876,0.03897982835769602,0.0033721700310701064,0.02128956923558834,-0.02049250435084092,0.052213559064315636,0.06852066010431265,0.07620923342074319,0.08631644605137041,0.0321515058121203,0.03635042085864782,blues
gtzan\blues\blues.00002.wav,161.4990234375,0.11976160925718894,-0.06017427254482148,0.07369697466492597,0.03501083329319912,-0.0014086555878337498,-0.026659744791686465,0.09093520349324578,0.0792943156288152,0.10588886182976243,0.10676326045078569,0.046847422583189996,0.04228405377773991,blues
gtzan\blues\blues.00003.wav,172.265625,0.10960239492696525,-0.07352378902319028,0.0628485530614849,0.08054222166538193,0.0005685686582176401,-0.04510823078453548,0.12379593240486968,0.09800299116321066,0.12636525572861101,0.18267620298172396,0.07828442537270563,0.05079349275094833,blues
gtzan\blues\blues.00004.wav,135.99917763157896,-0.005699609235723927,0.06457779435237367,-0.1599980704486374,-0.01857030764222258,0.01437084504674046,-0.030755025334656235,0.06257847330189859,0.07708341902165233,0.10270251839344618,0.1018098888334642,0.03548925917050011,0.0336304945071583,blues
gtzan\blues\blues.00005.wav,112.34714673913044,0.1140729249106193,0.07545802898785739,0.03618738055229149,-0.1713184304535393,-0.012891645456406526,-0.0430732853710649,0.12811228017468854,0.10988292687727842,0.10586030045768477,0.15991246048330007,0.050560322641706325,0.05317904204159864,blues
gtzan\blues\blues.00006.wav,123.046875,-0.02710316888402248,0.09586647634684825,-0.13466004282236138,0.07974478788673757,-0.04084895050791252,0.00025197397917510207,0.11247586442540612,0.14653939468794883,0.16682591247808035,0.18399495538705832,0.07052569912322428,0.05233471935092057,blues
gtzan\blues\blues.00007.wav,92.28515625,0.009151140244032012,0.0401972962226772,-0.1388437207788237,-0.014576233923436138,0.03378286336277674,-0.0036835847422480826,0.09351870944377792,0.07303895368434876,0.1379871009664687,0.1228098904139451,0.044723118873507356,0.042774810432736156,blues
gtzan\blues\blues.00008.wav,83.35433467741936,0.08155853302255474,-0.008188352379868187,0.027976147830485715,0.09162887185811946,-0.007222744772200309,-0.020846555940806793,0.05122878992852988,0.05458173368052185,0.05785696734147376,0.1088901331881727,0.04523757238493151,0.02413007434140763,blues
gtzan\blues\blues.00009.wav,129.19921875,0.07010892130567535,0.07717692118475226,0.036063939332961405,-0.022606156766414927,-0.007768375176609477,-0.05864800885319717,0.12200926651561829,0.12449730796988637,0.16266963035840407,0.13597131013496963,0.05840629615917925,0.04856765062712148,blues
gtzan\blues\blues.00010.wav,161.4990234375,-0.0035010259397233335,0.06996920531362724,-0.006282262504101424,0.032943867146968384,-0.008441037049894483,-0.01198908127844331,0.12651913545219148,0.08749217911019208,0.1523033051279974,0.1119895983980566,0.03681895934241084,0.05618820401499998,blues
gtzan\blues\blues.00011.wav,161.4990234375,0.12622183642531876,-0.08101582762469806,0.08622796833515071,0.14363066107034642,0.060637935312749455,-0.035886557772755574,0.10129943897886404,0.09893346998334143,0.13610765045640988,0.15934797707373125,0.093039659445691,0.04466804480356879,blues
gtzan\blues\blues.00012.wav,92.28515625,0.043865087869293835,-0.12573625895753002,0.0843371674418445,-0.05297741666436249,-0.06938434956142911,-0.005986922420561471,0.06660834683687115,0.12291455433340331,0.13955718421166508,0.09842320251250006,0.048180279304471454,0.03298784241895973,blues
gtzan\blues\blues.00013.wav,107.666015625,-0.08046037225651018,0.013129693437231967,-0.001110520213842836,-0.11402149498462721,-0.006760379261256914,-0.0451732734218239,0.07126421545763939,0.05474443812513418,0.0781471822317623,0.11659749307044401,0.03440346439842045,0.034420274794406416,blues
gtzan\blues\blues.00014.wav,151.99908088235293,0.027912507881169047,0.0016224623986515485,0.022085223346948235,-0.04898542165756265,-0.046581155610716296,-0.022680880501866407,0.07723338758128528,0.09177516929284799,0.11391481211373904,0.10866159847197303,0.03993180437990411,0.033643418530735866,blues
gtzan\blues\blues.00015.wav,99.38401442307692,-0.00821013056722956,-0.05276677837644629,0.021844781935214566,-0.032242694869637815,-0.021880909998518355,-0.020567489787936225,0.07232871481236622,0.08457718139844161,0.11081061742613874,0.11851071486749967,0.041415937833216676,0.036139129878595085,blues
gtzan\blues\blues.00016.wav,103.359375,0.052006312194617606,-0.056487233626066335,-0.059201817959547626,0.05886132270097654,0.0047140515092352776,0.012789754197001478,0.08315660121052589,0.08198454497990615,0.10488999569012282,0.10507725157357907,0.03740759950487746,0.04228183919114022,blues
gtzan\blues\blues.00017.wav,161.4990234375,0.04821909585106107,-0.05552969917295228,-0.05309272557497094,0.05986092612147248,-0.014397711194221298,0.03010976407676933,0.06793197438888804,0.08076228992315299,0.10795253854022037,0.09806430462030023,0.03871825182703826,0.0466616242928536,blues
