filename,mfcc_median1,mfcc_median2,mfcc_median3,mfcc_median4,mfcc_median5,mfcc_median6,mfcc_median7,mfcc_median8,mfcc_median9,mfcc_median10,mfcc_median11,mfcc_median12,mfcc_median13,mfcc_d_median1,mfcc_d_median2,mfcc_d_median3,mfcc_d_median4,mfcc_d_median5,mfcc_d_median6,mfcc_d_median7,mfcc_d_median8,mfcc_d_median9,mfcc_d_median10,mfcc_d_median11,mfcc_d_median12,mfcc_d_median13,mfcc_d2_median1,mfcc_d2_median2,mfcc_d2_median3,mfcc_d2_median4,mfcc_d2_median5,mfcc_d2_median6,mfcc_d2_median7,mfcc_d2_median8,mfcc_d2_median9,mfcc_d2_median10,mfcc_d2_median11,mfcc_d2_median12,mfcc_d2_median13,mfcc_square1,mfcc_square2,mfcc_square3,mfcc_square4,mfcc_square5,mfcc_square6,mfcc_square7,mfcc_square8,mfcc_square9,mfcc_square10,mfcc_square11,mfcc_square12,mfcc_square13,mfcc_d_square1,mfcc_d_square2,mfcc_d_square3,mfcc_d_square4,mfcc_d_square5,mfcc_d_square6,mfcc_d_square7,mfcc_d_square8,mfcc_d_square9,mfcc_d_square10,mfcc_d_square11,mfcc_d_square12,mfcc_d_square13,mfcc_d2_square1,mfcc_d2_square2,mfcc_d2_square3,mfcc_d2_square4,mfcc_d2_square5,mfcc_d2_square6,mfcc_d2_square7,mfcc_d2_square8,mfcc_d2_square9,mfcc_d2_square10,mfcc_d2_square11,mfcc_d2_square12,mfcc_d2_square13,label
gtzan\blues\blues.00000.wav,-87.0771255493164,104.103515625,-15.63769817352295,36.38035202026367,-4.187182426452637,16.578624725341797,-11.738996505737305,14.01095962524414,-10.322607040405273,9.725973129272461,-7.553524971008301,8.687623977661133,-3.3786044120788574,0.17662028968334198,0.0036741893272846937,-0.1662311553955078,0.031089656054973602,0.0950159952044487,0.026625650003552437,-0.01887591741979122,-0.008296847343444824,0.05776282772421837,-0.034709420055150986,0.022974109277129173,-0.04291439801454544,0.0057504079304635525,0.4614453911781311,-0.07291826605796814,-0.017763284966349602,-0.013697921298444271,-0.011038235388696194,0.013651964254677296,-0.01086447574198246,-0.0009032203815877438,-0.011937541887164116,-0.004756246227771044,-0.005532130599021912,0.020922454074025154,-0.02606525644659996,41.83042907714844,14.543684005737305,13.374715805053711,10.615852355957031,10.960116386413574,8.030661582946777,6.8282694816589355,6.908252716064453,7.639556407928467,6.641801834106445,6.450249195098877,6.108969211578369,5.298080921173096,8.563921928405762,2.3539395332336426,2.2691848278045654,1.8186525106430054,1.7231026887893677,1.5246330499649048,1.3086140155792236,1.346726655960083,1.3231834173202515,1.1656626462936401,1.0750082731246948,1.031493067741394,1.0236306190490723,4.614232540130615,1.2763651609420776,1.2207849025726318,1.0258392095565796,0.9139387011528015,0.8364422917366028,0.8035343289375305,0.7775223255157471,0.8004270195960999,0.7282201647758484,0.6786189079284668,0.6890054941177368,0.6390380859375,blues
gtzan\blues\blues.00001.wav,-151.79769897460938,107.06139373779297,10.449787139892578,30.061975479125977,2.8125176429748535,19.406208038330078,-6.432971477508545,19.402301788330078,-8.939835548400879,10.963859558105469,-5.348773002624512,4.762283802032471,-2.384690284729004,-3.295128583908081,-0.028949355706572533,0.10681439936161041,-0.12287518382072449,0.1393679529428482,-0.17858536541461945,0.1404958963394165,-0.10789579898118973,0.0626048892736435,-0.09587816148996353,0.08668925613164902,-0.12314438819885254,0.0348660871386528,0.6464298367500305,-0.06787215173244476,0.024853158742189407,-0.017272701486945152,-0.05096564441919327,-0.015802474692463875,-0.027329856529831886,-0.00691080279648304,-0.0029182392172515392,0.009244286455214024,0.009667731821537018,0.034601595252752304,-0.01194758154451847,73.79362487792969,20.060029983520508,20.6464900970459,13.841092109680176,13.668789863586426,10.478394508361816,11.730485916137695,9.701151847839355,10.725027084350586,8.544951438903809,8.66159439086914,8.232730865478516,6.771317958831787,12.383170127868652,2.9914207458496094,2.4967877864837646,2.2726857662200928,2.1138858795166016,1.721567988395691,1.6326152086257935,1.5900800228118896,1.5253249406814575,1.4275983572006226,1.3286083936691284,1.3117140531539917,1.0534780025482178,6.286560535430908,1.8052998781204224,1.3102542161941528,1.1972163915634155,1.1695172786712646,0.9396829605102539,0.8625189065933228,0.8700874447822571,0.8994583487510681,0.7694913744926453,0.745231568813324,0.6909488439559937,0.6152304410934448,blues
gtzan\blues\blues.00002.wav,-60.539825439453125,119.88971710205078,-25.18374252319336,24.95706558227539,-10.076963424682617,21.641786575317383,-10.85043716430664,11.517251014709473,-10.158681869506836,9.536055564880371,-10.586124420166016,6.951231002807617,-8.11945629119873,0.35238972306251526,-0.06752064824104309,0.19459117949008942,0.058824572712183,0.004979546647518873,0.03868665546178818,0.014815139584243298,-0.03116246499121189,0.02572549507021904,0.07203149050474167,0.052955660969018936,0.033558592200279236,0.023920873180031776,-0.1145915761590004,0.009893739596009254,-0.0729745551943779,0.009630306623876095,-0.03193886578083038,0.010143804363906384,0.024037841707468033,0.009148700162768364,0.03416759520769119,-0.01004007551819086,-0.0020958788227289915,-0.02491942048072815,0.010354730300605297,46.52709197998047,18.583452224731445,16.797290802001953,10.163177490234375,10.280895233154297,7.199344158172607,8.740030288696289,8.578948020935059,6.577880382537842,6.5819830894470215,6.521424293518066,6.712452411651611,6.397046089172363,9.88433837890625,2.970609664916992,3.2808632850646973,1.6900992393493652,1.5799752473831177,1.3008195161819458,1.6283546686172485,1.4115811586380005,1.2801446914672852,1.1626614332199097,1.1577694416046143,1.1058753728866577,1.172042727470398,5.859220027923584,1.7602570056915283,1.990296721458435,1.0387823581695557,1.0432406663894653,0.8103982210159302,1.0036038160324097,0.9746549725532532,0.8563573956489563,0.7517819404602051,0.6978181600570679,0.7119404077529907,0.6988956332206726,blues
gtzan\blues\blues.00003.wav,-153.3383331298828,128.30792236328125,7.313675403594971,25.30362892150879,3.6223857402801514,14.484455108642578,-0.6968001127243042,10.545385360717773,1.5064350366592407,9.052191734313965,-1.041471242904663,6.637195587158203,-0.7020082473754883,-3.40677809715271,-0.04689382016658783,0.2136949896812439,-0.2072407454252243,0.3307815492153168,-0.17731980979442596,0.11695191264152527,-0.12403899431228638,0.03773867338895798,-0.06819392740726471,0.11373528838157654,-0.08966394513845444,-0.023390674963593483,0.5768417119979858,-0.07468757778406143,-0.05741504207253456,-0.055240895599126816,-0.012573291547596455,0.014322041533887386,-0.05952165275812149,-0.00795835256576538,-0.05735384300351143,-0.022361846640706062,-0.041420966386795044,0.01828695274889469,-0.016138343140482903,61.70511245727539,17.71837615966797,13.68976879119873,10.314912796020508,13.554627418518066,9.31385326385498,10.390942573547363,7.561318874359131,8.019923210144043,7.103816986083984,8.989004135131836,5.840465068817139,6.405084609985352,11.42497444152832,2.892249345779419,2.441871166229248,1.845387578010559,2.1795670986175537,1.4771344661712646,1.3738521337509155,1.261779546737671,1.4330205917358398,1.2477442026138306,1.3586704730987549,1.0603585243225098,1.1191530227661133,5.557389259338379,1.782995581626892,1.3901962041854858,1.0260708332061768,1.1037107706069946,0.8113687038421631,0.7430165410041809,0.7195714712142944,0.8004342317581177,0.6910982728004456,0.7024762034416199,0.6188597679138184,0.6438391208648682,blues
gtzan\blues\blues.00004.wav,-119.61675262451172,110.66299438476562,-31.974533081054688,19.802955627441406,-26.74949073791504,9.932110786437988,-19.67441749572754,0.11516314744949341,-10.112405776977539,2.3497133255004883,-11.990533828735352,-1.5050183534622192,-6.055815696716309,-0.37112629413604736,0.1158270537853241,0.09487126767635345,0.0627875030040741,0.1390993446111679,-0.05853395164012909,0.07953611761331558,-0.005899379495531321,0.06379511952400208,-0.0954282283782959,0.04930027201771736,-0.10063547641038895,0.06241538003087044,0.42344504594802856,-0.02711004577577114,0.06145145371556282,0.018488680943846703,0.04126095026731491,0.0031916361767798662,-0.0517328716814518,-0.000866986985784024,0.011597592383623123,-0.007932166568934917,-0.0032628397457301617,0.0032466882839798927,0.0020633027888834476,59.45954895019531,24.944852828979492,14.5900297164917,11.608283042907715,14.819036483764648,9.253169059753418,8.035011291503906,9.294610977172852,9.375968933105469,8.37297534942627,7.639590263366699,7.788360595703125,7.957662582397461,10.682584762573242,3.1207330226898193,2.5800554752349854,2.011472702026367,2.1187760829925537,1.508821725845337,1.4651037454605103,1.399784803390503,1.4691052436828613,1.4697363376617432,1.2866588830947876,1.383955717086792,1.3288066387176514,5.603105545043945,1.894521713256836,1.4915249347686768,1.0660667419433594,1.1518834829330444,0.8903821110725403,0.8845520615577698,0.8693355321884155,0.8004679679870605,0.9201995134353638,0.745985746383667,0.8041132688522339,0.8065800666809082,blues
gtzan\blues\blues.00005.wav,-128.82150268554688,113.51573181152344,-21.286684036254883,25.599918365478516,-18.550674438476562,9.088319778442383,-16.89423179626465,3.5573387145996094,-6.7875823974609375,-0.7986568808555603,-9.003829956054688,-0.972115695476532,-9.203295707702637,-2.482391595840454,0.08923009037971497,0.29878348112106323,-0.32432040572166443,0.2586044669151306,-0.13235265016555786,0.10397292673587799,-0.0679624006152153,0.004927606321871281,-0.09449097514152527,0.04258700832724571,-0.029623039066791534,-0.059101831167936325,0.42178982496261597,-0.1060965433716774,0.027044693008065224,-0.00520746223628521,-0.04152369499206543,0.05594673752784729,-0.028637785464525223,0.02455238252878189,0.011752256192266941,0.023726308718323708,-0.0040356917306780815,0.02091401442885399,0.00737313786521554,71.6610336303711,46.47428512573242,21.089487075805664,17.909990310668945,16.850744247436523,12.748818397521973,10.587648391723633,9.573248863220215,11.044310569763184,8.072479248046875,7.622964382171631,7.427567481994629,7.622745513916016,11.83352279663086,4.528351783752441,3.103435516357422,2.53692889213562,2.3542826175689697,1.705927848815918,1.5451704263687134,1.3666774034500122,1.4316205978393555,1.4810638427734375,1.1533771753311157,1.1523468494415283,1.1756945848464966,6.295082092285156,2.30810546875,1.6608006954193115,1.4239720106124878,1.3076601028442383,0.9336622953414917,0.9217380881309509,0.8183228373527527,0.8321642279624939,0.8364202976226807,0.7154968976974487,0.7551366686820984,0.7163456082344055,blues
gtzan\blues\blues.00006.wav,-137.33798217773438,122.94303894042969,-35.02980041503906,26.251949310302734,18.607872009277344,-0.04678213596343994,-16.99029541015625,0.3269174098968506,-4.967629432678223,-3.7142865657806396,-6.15510368347168,-2.378479480743408,-5.1295881271362305,-2.668903112411499,-0.037646230310201645,0.45057666301727295,-0.07269623875617981,0.06609783321619034,-0.01865151710808277,-0.0009423692827112973,0.027452262118458748,0.007313219830393791,-0.0328168086707592,-0.024787820875644684,0.03302954509854317,0.010874132625758648,0.39335906505584717,-0.18014374375343323,-0.03646517172455788,0.0168687142431736,-0.06385889649391174,0.045458730310201645,0.010777751915156841,0.003085489384829998,-0.006362924352288246,0.014240110293030739,-0.00969894789159298,0.01820319890975952,0.02081415429711342,83.12034606933594,37.24676513671875,30.129926681518555,18.3236026763916,27.425029754638672,13.665848731994629,10.339313507080078,8.437873840332031,9.824952125549316,10.247946739196777,8.129964828491211,6.754837989807129,7.440103054046631,12.885642051696777,4.486364364624023,4.692819595336914,2.6738169193267822,2.8407669067382812,2.1213464736938477,1.646262288093567,1.356926441192627,1.4420926570892334,1.811476230621338,1.3323763608932495,1.1611827611923218,1.1964974403381348,6.931211948394775,2.3179068565368652,2.373187780380249,1.4490993022918701,1.4733043909072876,1.2353147268295288,0.9336560368537903,0.7877848148345947,0.924333393573761,1.0700308084487915,0.7095056176185608,0.7244458198547363,0.7003902196884155,blues
gtzan\blues\blues.00007.wav,-139.48097229003906,121.46890258789062,-24.949630737304688,34.01395797729492,6.752343654632568,10.312784194946289,-16.310565948486328,6.805272579193115,-10.381211280822754,-3.0914692878723145,-5.5501484870910645,-4.667422771453857,-1.9329910278320312,-1.2219207286834717,0.19448509812355042,0.14141884446144104,-0.0841643363237381,0.19480060040950775,0.005715702194720507,0.03330392763018608,-0.0845835730433464,0.11736297607421875,-0.055802617222070694,-0.024177130311727524,-0.02480424754321575,0.035490408539772034,0.058015335351228714,0.05367429181933403,0.05118769407272339,-0.022936681285500526,-0.045801013708114624,0.014721095561981201,-0.03809162229299545,-0.004911181516945362,-0.015148114413022995,-0.014351489953696728,0.016884107142686844,0.0030605618376284838,-0.023130441084504128,67.70553588867188,31.700634002685547,19.884592056274414,15.619004249572754,20.717573165893555,9.631869316101074,10.690319061279297,10.05514144897461,10.826074600219727,11.341194152832031,10.312251091003418,7.269834518432617,7.96708869934082,10.536113739013672,3.36775279045105,3.057680130004883,2.474135160446167,2.513143301010132,1.5967469215393066,1.605901837348938,1.485899567604065,1.6767412424087524,1.665373682975769,1.4005894660949707,1.2472044229507446,1.386518955230713,5.829687118530273,2.036013603210449,1.7112908363342285,1.415268898010254,1.5266354084014893,0.9172356724739075,0.9357138276100159,0.8665136694908142,0.9570900797843933,0.9144095182418823,0.7589090466499329,0.7301762700080872,0.8240441679954529,blues
gtzan\blues\blues.00008.wav,-91.96357727050781,105.80968475341797,-11.37680435180664,37.131805419921875,-3.3877463340759277,18.157489776611328,-15.08108901977539,20.517127990722656,-8.804323196411133,19.367435455322266,-4.5215349197387695,7.6383867263793945,-10.282020568847656,-0.012949371710419655,-0.21721991896629333,0.10762123763561249,0.04752922058105469,0.2537405788898468,0.06309881061315536,0.04798067361116409,-0.02691520005464554,-0.026254398748278618,-0.05251757428050041,0.06340106576681137,-0.15221929550170898,0.06884746253490448,0.4402324855327606,-0.11369122564792633,-0.054300300776958466,-0.024718429893255234,-0.06791059672832489,-0.029635732993483543,0.00737354950979352,0.004249993711709976,-0.019181275740265846,-0.04990356042981148,-0.015550510957837105,-0.054462093859910965,0.013113124296069145,41.68533706665039,17.087501525878906,15.57021713256836,11.960216522216797,11.170071601867676,8.669774055480957,6.37697172164917,7.296406269073486,5.543822765350342,6.39753532409668,5.9093017578125,6.108807563781738,6.675930023193359,8.952271461486816,3.8605141639709473,3.5257415771484375,2.214016914367676,1.8821061849594116,1.9158488512039185,1.2348048686981201,1.3802077770233154,0.9469707608222961,1.281389832496643,1.045839548110962,1.232877254486084,1.1678214073181152,5.35722017288208,2.0122838020324707,1.9473711252212524,1.1566773653030396,1.0459305047988892,1.0424216985702515,0.7310078144073486,0.8964455723762512,0.5965064167976379,0.8087767362594604,0.673743724822998,0.7693164348602295,0.6605892777442932,blues
gtzan\blues\blues.00009.wav,-163.73220825195312,102.78263854980469,-7.49667501449585,28.938188552856445,-14.891073226928711,11.63923168182373,-7.491250038146973,7.8797831535339355,-13.451664924621582,3.5218005180358887,-6.266226768493652,3.9399971961975098,-1.1131632328033447,-1.0551412105560303,0.08582521975040436,0.19318048655986786,-0.1789635717868805,0.15994848310947418,0.05906389653682709,0.020305879414081573,-0.014445573091506958,0.0351838581264019,-0.038170281797647476,0.016615955159068108,0.056211795657873154,-0.006634871009737253,0.04260293394327164,-0.0649777352809906,-0.032585639506578445,0.04449250549077988,-0.03893201798200607,0.02167847752571106,0.004933782387524843,-0.003743596840649843,-0.00454802718013525,-0.022538993507623672,0.01861824095249176,-0.0035687810741364956,-0.010099470615386963,66.7319107055664,23.613407135009766,21.78435707092285,15.89959716796875,18.95625877380371,14.179834365844727,9.423599243164062,7.026554584503174,8.895943641662598,8.043615341186523,7.861762046813965,8.513671875,7.274141311645508,7.522683143615723,3.1337475776672363,2.5979537963867188,2.162797212600708,2.1709108352661133,1.4977473020553589,1.3082844018936157,1.0785924196243286,1.3529090881347656,1.303441047668457,1.0923141241073608,1.0352919101715088,1.0582373142242432,3.5912885665893555,1.7627321481704712,1.360962986946106,1.181693196296692,1.1357426643371582,0.7892400622367859,0.758766770362854,0.6612892150878906,0.7763388752937317,0.6886292099952698,0.6369981169700623,0.6168293952941895,0.638586163520813,blues
